"Papagou (Post Office) , Leukosias 25, Papagou",ELTA001,37.98949,23.79428
"Cholargou (Post Office), Aspasias 70, Cholargos ",ELTA002,38.00034,23.79328
"Red Box #1, Mesogeion Aven. 156-158, Papagou",ELTA003,37.99876,23.78431
"Red Box #2, Mesogeion Aven. 260, Cholargos",ELTA004,38.00613,23.79713
"VEHICLE DEPO - Mesogeion 395 Ave., Agia Paraskevi",ELTA005,38.012288,23.813838
